Floating Point Number,Total Completed,Time/Number (s),ETA (s)
1,1,0.0005006790161132812,5.006289482116699
2,2,0.0004410743713378906,4.4098615646362305
3,3,0.0004111925760904948,4.110692183176677
4,4,0.0004086494445800781,4.084859848022461
5,5,0.00040502548217773436,4.048229694366455
6,6,0.0004043976465861003,4.041550079981486
7,7,0.0003952980041503906,3.9502129554748535
8,8,0.0003877878189086914,3.8747758865356445
9,9,0.0003864235348171658,3.8607575363583035
10,10,0.00038592815399169923,3.855422258377075
11,11,0.00038667158647017044,3.8624624772505327
12,12,0.0003827611605326335,3.8230184713999433
13,13,0.0003854861626258263,3.8498503061441274
14,14,0.0003856931413922991,3.851531709943499
15,15,0.00038701693216959635,3.8643640677134194
16,16,0.0003874450922012329,3.8682518005371094
17,17,0.0003876966588637408,3.870375745436724
18,18,0.00038745668199327256,3.8675925996568465
19,19,0.00038691570884303043,3.861805689962287
20,20,0.0003845453262329102,3.8377623558044434
21,21,0.00038236663455054875,3.815636646179926
22,22,0.0003804510289972479,3.796140367334539
23,23,0.0003794483516527259,3.785756204439246
24,24,0.0003778239091237386,3.769171317418416
25,25,0.0003785133361816406,3.7756705284118652
26,26,0.0003785536839411809,3.7756944436293383
27,27,0.00037857338234230327,3.7755123420997907
28,28,0.0003778679030282157,3.7680987289973666
29,29,0.0003771124214961611,3.760187954738222
30,30,0.0003779808680216471,3.768469254175822
31,31,0.00037817801198651715,3.7700566014935895
32,32,0.0003782808780670166,3.7707037925720215
33,33,0.0003788543469978101,3.7760412765271734
34,34,0.00037949225481818705,3.7820198115180523
35,35,0.00037979398454938615,3.784647056034633
36,36,0.000378972954220242,3.776086515850491
37,37,0.00037830584758036847,3.769061159443211
38,38,0.0003774228848909077,3.7598867792832227
39,39,0.00037673192146496894,3.7526266697125554
40,40,0.00037577152252197263,3.7426843643188477
41,41,0.0003748347119587224,3.7329788963969164
42,42,0.00037519137064615887,3.73615566889445
43,43,0.00037548153899436774,3.7386696837669198
44,44,0.0003750378435308283,3.7338767701929267
45,45,0.0003746244642469618,3.7293865415785046
46,46,0.0003740528355474057,3.7233219250388765
47,47,0.0003739417867457613,3.721842603480562
48,48,0.0003731350104014079,3.7134396235148115
49,49,0.0003726044479681521,3.7077868617310816
50,50,0.0003727340698242187,3.708703994750976
51,51,0.00037290535721124386,3.7100353988946653
52,52,0.0003724969350374662,3.7055995097527137
53,53,0.00037272471301960495,3.7074927204060106
54,54,0.00037221113840738934,3.7020119825998945
55,55,0.00037180293690074575,3.6975802074779165
56,56,0.00037219268935067315,3.701084102903094
57,57,0.0003725645834939522,3.704409653680367
58,58,0.0003733306095517915,3.711652920163911
59,59,0.00037339178182310977,3.711887703103534
60,60,0.0003734111785888672,3.71170711517334
61,61,0.0003727694026759413,3.7049550931961805
62,62,0.00037212525644610004,3.698180798561342
63,63,0.00037161509195963543,3.6927391688028974
64,64,0.0003713928163051605,3.690159022808075
65,65,0.00037109668438251205,3.686845559340257
66,66,0.0003721786267829664,3.697222478461988
